HomeTAZfactor,superD_dest,taz_driving,taz_transit,commuter_count,home_lat,home_lon,dest_lat,dest_lon
45,5.0,39.0,76.0,60,37.797884268292684,-122.42983451626016,37.65355542190556,-122.44983365772562
45,18.0,48.0,82.0,68,37.797884268292684,-122.42983451626016,37.79525905351587,-122.23454234396391
45,19.0,40.0,67.0,34,37.797884268292684,-122.42983451626016,37.86314654588441,-122.27415722294221
46,1.0,10.0,18.0,1564,37.79378745,-122.4266225,37.788717654718205,-122.40900092053552
46,2.0,7.0,20.0,719,37.79378745,-122.4266225,37.78494491888719,-122.44528827456274
46,3.0,21.0,39.0,398,37.79378745,-122.4266225,37.75073743885415,-122.42052814221317
46,4.0,30.0,42.0,98,37.79378745418848,-122.4266225248691,37.742438374444,-122.4808705677315
46,5.0,37.0,73.0,87,37.79378745418848,-122.4266225248691,37.65355542190556,-122.44983365772562
46,6.0,39.0,90.0,21,37.79378745418848,-122.4266225248691,37.54880006373962,-122.3030570928971
46,17.0,48.0,96.0,22,37.79378745418848,-122.4266225248691,37.68087262885738,-122.10114864275785
46,18.0,47.0,70.0,105,37.79378745418848,-122.4266225248691,37.79525905351587,-122.23454234396391
46,19.0,48.0,66.0,52,37.79378745418848,-122.4266225248691,37.86314654588441,-122.27415722294221
46,20.0,52.0,129.0,20,37.79378745418848,-122.4266225248691,37.95530967448472,-122.30572557462686
46,34.0,23.0,58.0,26,37.79378745418848,-122.4266225248691,37.90157963846768,-122.51226771308859
47,1.0,11.0,23.0,431,37.79193356,-122.432347,37.788717654718205,-122.40900092053552
47,2.0,5.0,15.0,250,37.79193356,-122.432347,37.78494491888719,-122.44528827456274
47,3.0,23.0,43.0,110,37.79193355769231,-122.432347,37.75073743885415,-122.42052814221317
47,4.0,24.0,45.0,24,37.79193355769231,-122.432347,37.742438374444,-122.4808705677315
47,5.0,30.0,75.0,34,37.79193355769231,-122.432347,37.65355542190556,-122.44983365772562
47,18.0,51.0,73.0,35,37.79193355769231,-122.432347,37.79525905351587,-122.23454234396391
47,19.0,40.0,71.0,21,37.79193355769231,-122.432347,37.86314654588441,-122.27415722294221
48,1.0,13.0,30.0,576,37.78978918,-122.4420081,37.788717654718205,-122.40900092053552
48,2.0,3.0,12.0,455,37.78978918,-122.4420081,37.78494491888719,-122.44528827456274
48,3.0,24.0,42.0,165,37.789789180327865,-122.44200813114755,37.75073743885415,-122.42052814221317
48,4.0,21.0,39.0,31,37.789789180327865,-122.44200813114755,37.742438374444,-122.4808705677315
48,5.0,40.0,78.0,50,37.789789180327865,-122.44200813114755,37.65355542190556,-122.44983365772562
48,18.0,49.0,77.0,50,37.789789180327865,-122.44200813114755,37.79525905351587,-122.23454234396391
48,19.0,45.0,75.0,28,37.789789180327865,-122.44200813114755,37.86314654588441,-122.27415722294221
49,1.0,12.0,22.0,619,37.7941489,-122.4349442,37.788717654718205,-122.40900092053552
49,2.0,6.0,16.0,457,37.7941489,-122.4349442,37.78494491888719,-122.44528827456274
49,3.0,24.0,36.0,187,37.7941489044289,-122.43494417016316,37.75073743885415,-122.42052814221317
49,4.0,27.0,45.0,44,37.7941489044289,-122.43494417016316,37.742438374444,-122.4808705677315
49,5.0,37.0,78.0,42,37.7941489044289,-122.43494417016316,37.65355542190556,-122.44983365772562
49,18.0,47.0,74.0,63,37.7941489044289,-122.43494417016316,37.79525905351587,-122.23454234396391
49,19.0,40.0,74.0,30,37.7941489044289,-122.43494417016316,37.86314654588441,-122.27415722294221
49,34.0,20.0,57.0,20,37.7941489044289,-122.43494417016316,37.90157963846768,-122.51226771308859
50,1.0,15.0,30.0,652,37.79809404,-122.4412349,37.788717654718205,-122.40900092053552
50,2.0,7.0,19.0,451,37.79809404,-122.4412349,37.78494491888719,-122.44528827456274
50,3.0,26.0,53.0,213,37.79809404,-122.4412349,37.75073743885415,-122.42052814221317
50,4.0,24.0,39.0,40,37.79809404388715,-122.44123492789969,37.742438374444,-122.4808705677315
50,5.0,41.0,86.0,67,37.79809404388715,-122.44123492789969,37.65355542190556,-122.44983365772562
50,18.0,51.0,76.0,61,37.79809404388715,-122.44123492789969,37.79525905351587,-122.23454234396391
50,19.0,48.0,78.0,31,37.79809404388715,-122.44123492789969,37.86314654588441,-122.27415722294221
50,34.0,16.0,56.0,28,37.79809404388715,-122.44123492789969,37.90157963846768,-122.51226771308859
51,1.0,18.0,39.0,527,37.80317483,-122.4446099,37.788717654718205,-122.40900092053552
51,2.0,9.0,24.0,375,37.80317483,-122.4446099,37.78494491888719,-122.44528827456274
51,3.0,31.0,41.0,175,37.80317483333334,-122.44460992708333,37.75073743885415,-122.42052814221317
51,4.0,20.0,44.0,33,37.80317483333334,-122.44460992708333,37.742438374444,-122.4808705677315
51,5.0,40.0,75.0,57,37.80317483333334,-122.44460992708333,37.65355542190556,-122.44983365772562
51,18.0,52.0,76.0,52,37.80317483333334,-122.44460992708333,37.79525905351587,-122.23454234396391
51,19.0,49.0,72.0,31,37.80317483333334,-122.44460992708333,37.86314654588441,-122.27415722294221
